id_cliente,nombre,edad,ciudad,correo
1,Pedro Martínez,46,La Paz,pedro.martínez61@gmail.com
2,Pedro Silva,36,Caracas,pedro.silva75@outlook.com
3,Lucía Sánchez,53,La Paz,lucía.sánchez24@outlook.com
4,María Sánchez,19,La Paz,maría.sánchez30@yahoo.com
5,Ana Sánchez,50,Asunción,ana.sánchez22@gmail.com
6,Andrés Pérez,44,Asunción,andrés.pérez92@outlook.com
7,Carlos Ramírez,20,Buenos Aires,carlos.ramírez51@outlook.com
8,Luis Morales,56,Bogotá,luis.morales4@gmail.com
9,Ana Silva,26,Asunción,ana.silva53@yahoo.com
10,Sofía Ramírez,61,La Paz,sofía.ramírez47@outlook.com
11,Juan Martínez,57,Ciudad de México,juan.martínez2@yahoo.com
12,María Torres,59,Ciudad de México,maría.torres54@gmail.com
13,Ana Silva,61,Bogotá,ana.silva74@yahoo.com
14,Sofía Díaz,31,Caracas,sofía.díaz62@gmail.com
15,Ana Sánchez,41,Asunción,ana.sánchez89@gmail.com
16,Andrés Pérez,42,Caracas,andrés.pérez9@gmail.com
17,Lucía Díaz,28,Santiago,lucía.díaz81@outlook.com
18,Carlos Pérez,22,Asunción,carlos.pérez41@outlook.com
19,Andrés Díaz,29,Bogotá,andrés.díaz33@outlook.com
20,Pedro Díaz,54,Santiago,pedro.díaz44@yahoo.com
21,Carlos Pérez,52,Buenos Aires,carlos.pérez47@yahoo.com
22,Carlos Pérez,22,Asunción,carlos.pérez14@outlook.com
23,Andrés Silva,59,Santiago,andrés.silva63@outlook.com
24,Juan Martínez,49,Ciudad de México,juan.martínez94@gmail.com
25,Pedro Ramírez,62,Ciudad de México,pedro.ramírez13@outlook.com
26,Carlos Torres,45,Bogotá,carlos.torres42@gmail.com
27,Andrés Sánchez,23,Ciudad de México,andrés.sánchez30@yahoo.com
28,Laura Ramírez,45,Montevideo,laura.ramírez62@gmail.com
29,Juan Morales,44,Montevideo,juan.morales77@gmail.com
30,Carlos Ramírez,23,La Paz,carlos.ramírez27@gmail.com
31,Luis Pérez,59,La Paz,luis.pérez79@outlook.com
32,María Díaz,58,Ciudad de México,maría.díaz62@gmail.com
33,Laura Martínez,29,Caracas,laura.martínez2@outlook.com
34,Juan Sánchez,34,Lima,juan.sánchez2@yahoo.com
35,María Ramírez,54,Lima,maría.ramírez1@outlook.com
36,Ana Sánchez,61,Asunción,ana.sánchez32@yahoo.com
37,Pedro Martínez,28,La Paz,pedro.martínez17@outlook.com
38,María Díaz,22,Ciudad de México,maría.díaz98@yahoo.com
39,María Pérez,26,Quito,maría.pérez80@gmail.com
40,Carlos Martínez,53,Santiago,carlos.martínez90@outlook.com
41,Carlos Martínez,49,Caracas,carlos.martínez52@gmail.com
42,Juan Díaz,56,Bogotá,juan.díaz1@outlook.com
43,Andrés Morales,40,Asunción,andrés.morales99@outlook.com
44,Laura Morales,19,Lima,laura.morales48@yahoo.com
45,Luis Sánchez,49,Caracas,luis.sánchez9@gmail.com
46,Carlos López,33,Santiago,carlos.lópez20@yahoo.com
47,Lucía Pérez,41,Ciudad de México,lucía.pérez75@gmail.com
48,Lucía Martínez,55,La Paz,lucía.martínez84@yahoo.com
49,Carlos Morales,52,Montevideo,carlos.morales93@yahoo.com
50,Ana García,52,Montevideo,ana.garcía33@gmail.com
51,Luis Martínez,25,Caracas,luis.martínez67@gmail.com
52,Juan López,39,Caracas,juan.lópez22@yahoo.com
53,María Torres,62,Santiago,maría.torres54@outlook.com
54,Ana Sánchez,47,Lima,ana.sánchez28@outlook.com
55,Juan Sánchez,36,Ciudad de México,juan.sánchez35@gmail.com
56,Juan Sánchez,23,Santiago,juan.sánchez37@gmail.com
57,Juan Sánchez,48,Santiago,juan.sánchez60@gmail.com
58,Sofía Sánchez,49,Caracas,sofía.sánchez33@outlook.com
59,Ana Morales,59,Quito,ana.morales58@outlook.com
60,Lucía Díaz,49,Quito,lucía.díaz23@yahoo.com
61,Laura García,43,Lima,laura.garcía33@gmail.com
62,María Ramírez,46,Asunción,maría.ramírez26@outlook.com
63,Ana Morales,41,Asunción,ana.morales7@gmail.com
64,Sofía Martínez,18,La Paz,sofía.martínez16@yahoo.com
65,Carlos Ramírez,32,Bogotá,carlos.ramírez66@outlook.com
66,María López,42,Asunción,maría.lópez63@yahoo.com
67,María Silva,39,Lima,maría.silva52@yahoo.com
68,María Torres,60,Buenos Aires,maría.torres97@gmail.com
